label,B10,B11,B1,B2,B3,B4,B5,B6,B7,B9
1.0,21848.0,20632.0,8234.0,7528.0,6608.0,5878.0,5461.0,5152.0,5085.0,5025.0
1.0,21793.0,20619.0,8237.0,7537.0,6619.0,5890.0,5478.0,5152.0,5092.0,5032.0
1.0,21768.0,20615.0,8227.0,7528.0,6622.0,5899.0,5478.0,5161.0,5101.0,5037.0
1.0,21755.0,20598.0,8237.0,7536.0,6617.0,5887.0,5468.0,5144.0,5087.0,5045.0
1.0,21750.0,20583.0,8221.0,7519.0,6604.0,5875.0,5457.0,5135.0,5075.0,5039.0
1.0,21763.0,20573.0,8213.0,7526.0,6602.0,5878.0,5440.0,5140.0,5084.0,5023.0
1.0,21785.0,20566.0,8234.0,7520.0,6597.0,5867.0,5470.0,5135.0,5072.0,5027.0
1.0,21809.0,20565.0,8237.0,7519.0,6596.0,5882.0,5446.0,5128.0,5062.0,5040.0
1.0,21832.0,20568.0,8199.0,7535.0,6604.0,5870.0,5466.0,5129.0,5072.0,5033.0
1.0,21855.0,20580.0,8213.0,7512.0,6593.0,5880.0,5457.0,5145.0,5076.0,5022.0
1.0,21854.0,20616.0,8206.0,7524.0,6598.0,5883.0,5457.0,5148.0,5081.0,5027.0
1.0,21952.0,20696.0,8223.0,7517.0,6606.0,5871.0,5462.0,5151.0,5085.0,5027.0
1.0,22045.0,20780.0,8214.0,7535.0,6594.0,5878.0,5467.0,5164.0,5096.0,5034.0
1.0,21903.0,20670.0,8229.0,7532.0,6612.0,5883.0,5455.0,5148.0,5089.0,5031.0
1.0,21825.0,20619.0,8236.0,7529.0,6605.0,5857.0,5459.0,5139.0,5085.0,5027.0
1.0,21783.0,20611.0,8238.0,7526.0,6616.0,5887.0,5456.0,5138.0,5098.0,5025.0
1.0,21759.0,20603.0,8224.0,7541.0,6602.0,5885.0,5465.0,5151.0,5084.0,5036.0
1.0,21742.0,20590.0,8228.0,7530.0,6597.0,5884.0,5468.0,5153.0,5090.0,5040.0
1.0,21737.0,20576.0,8231.0,7527.0,6616.0,5875.0,5455.0,5141.0,5091.0,5030.0
1.0,21752.0,20565.0,8215.0,7536.0,6601.0,5880.0,5433.0,5142.0,5078.0,5015.0
1.0,21774.0,20560.0,8219.0,7517.0,6595.0,5878.0,5457.0,5138.0,5076.0,5043.0
1.0,21799.0,20560.0,8214.0,7515.0,6613.0,5878.0,5447.0,5136.0,5067.0,5024.0
1.0,21824.0,20563.0,8227.0,7527.0,6590.0,5869.0,5447.0,5123.0,5063.0,5020.0
1.0,21834.0,20573.0,8228.0,7524.0,6606.0,5879.0,5460.0,5140.0,5076.0,5027.0
1.0,21851.0,20597.0,8203.0,7526.0,6611.0,5870.0,5457.0,5146.0,5080.0,5028.0
